categoria;item;valor;unidade;procedencia;fonte;url;consultado_em;observacao
Passagem aérea;Brasília (BSB) -> Recife (REC), ida e volta;1067;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Brasilia-BSB/Recife-REC;2026-09-15;"faixa típica 825-1403; menor achado 642"
Passagem aérea;Goiânia (GYN) -> Recife (REC), ida e volta;1254;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Goiania-GYN/Recife-REC;2026-09-15;"faixa típica 996-1623; menor achado 841"
Passagem aérea;Cuiabá (CGB) -> Recife (REC), ida e volta;1380;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Cuiaba-CGB/Recife-REC;2026-09-15;"faixa típica 1110-1726; menor achado 968"
Passagem aérea;Campo Grande (CGR) -> Recife (REC), ida e volta;1348;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Campo-Grande-CGR/Recife-REC;2026-09-15;"faixa típica 1075-1717; menor achado 1070"
Passagem aérea;Vitória (VIX) -> Recife (REC), ida e volta;1072;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Vitoria-VIX/Recife-REC;2026-09-15;"faixa típica 858-1415; menor achado 730"
Passagem aérea;Belo Horizonte (CNF) -> Recife (REC), ida e volta;1193;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Belo-Horizonte-BHZ/Recife-REC;2026-09-15;"faixa típica 949-1538; menor achado 766"
Passagem aérea;Rio de Janeiro (GIG) -> Recife (REC), ida e volta;1143;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Rio-de-Janeiro-RIO/Recife-REC;2026-09-15;"faixa típica 896-1529; menor achado 922"
Passagem aérea;São Paulo (GRU) -> Recife (REC), ida e volta;1154;BRL ida e volta;cotação datada;Kayak;https://www.kayak.com.br/flight-routes/Sao-Paulo-SAO/Recife-REC;2026-09-14;"faixa típica 923-1500; menor achado 758"
Passagem aérea;Curitiba (CWB) -> Recife (REC), ida e volta;1273;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Curitiba-CWB/Recife-REC;2026-09-15;"faixa típica 927-1704; menor achado 1009"
Passagem aérea;Florianópolis (FLN) -> Recife (REC), ida e volta;1368;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Florianopolis-FLN/Recife-REC;2026-09-15;"faixa típica 1134-1727; menor achado 1295"
Passagem aérea;Porto Alegre (POA) -> Recife (REC), ida e volta;1488;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Porto-Alegre-POA/Recife-REC;2026-09-15;"faixa típica 1208-1894; menor achado 937"
Hospedagem (Airbnb);Boa Viagem Flats Apto 201 (1 quarto, 34 m²);194;BRL por noite (apartamento inteiro);dado real;cozycozy (agregador de aluguel por temporada);https://www.cozycozy.com/br/aluguel-temporada-boa-viagem;2026-09-17;levantado na pesquisa, não adotado. Capacidade 3 pessoas (R$ 65/pessoa se lotado)
Hospedagem (Airbnb);Golden Shopping Home Service Apt 608 (27 m²);200;BRL por noite (apartamento inteiro);dado real;cozycozy (agregador de aluguel por temporada);https://www.cozycozy.com/br/aluguel-temporada-boa-viagem;2026-09-17;"ADOTADO no cenário Econômico. Capacidade 6 pessoas; o painel divide pelo tamanho do grupo (R$ 33/pessoa se lotado)"
Hospedagem (Airbnb);Flat Imperial Suites;219;BRL por noite (apartamento inteiro);dado real;cozycozy (agregador de aluguel por temporada);https://www.cozycozy.com/br/aluguel-temporada-boa-viagem;2026-09-17;levantado na pesquisa, não adotado. Capacidade 5 pessoas (R$ 44/pessoa se lotado)
Hospedagem (Airbnb);Apart Hotel Navegantes Boa Viagem (30 m²);233;BRL por noite (apartamento inteiro);dado real;cozycozy (agregador de aluguel por temporada);https://www.cozycozy.com/br/aluguel-temporada-boa-viagem;2026-09-17;levantado na pesquisa, não adotado. Anúncio não declara a lotação
Hospedagem (Airbnb);Edf. Costa do Rio (1 quarto, 1 banheiro, 28 m²);238;BRL por noite (apartamento inteiro);dado real;cozycozy (agregador de aluguel por temporada);https://www.cozycozy.com/br/aluguel-temporada-boa-viagem;2026-09-17;levantado na pesquisa, não adotado. Anúncio não declara a lotação
Hospedagem (Airbnb);Flat Perto do Mar de Boa Viagem (1 quarto);302;BRL por noite (apartamento inteiro);dado real;cozycozy (agregador de aluguel por temporada);https://www.cozycozy.com/br/aluguel-temporada-boa-viagem;2026-09-17;"ADOTADO no cenário Intermediário. Capacidade 4 pessoas; o painel divide pelo tamanho do grupo (R$ 76/pessoa se lotado)"
Hospedagem (Airbnb);Comfortable Studio in Boa Viagem;378;BRL por noite (apartamento inteiro);dado real;cozycozy (agregador de aluguel por temporada);https://www.cozycozy.com/br/aluguel-temporada-boa-viagem;2026-09-17;"ADOTADO no cenário Conforto. Capacidade 2 pessoas; o painel divide pelo tamanho do grupo (R$ 189/pessoa se lotado)"
Hospedagem (Airbnb);Panorama de preços em Boa Viagem;"econômico R$ 194-238; médio R$ 250-400; premium acima de R$ 1.000";BRL por noite;dado real;cozycozy (agregador de aluguel por temporada);https://www.cozycozy.com/br/aluguel-temporada-boa-viagem;2026-09-17;faixas do filtro do site: R$ 0-300 · R$ 300-750 · R$ 750+
Referência;Tarifa aérea doméstica média (nacional, mai/2026);632,53;BRL por trecho;dado real;ANAC — dados tarifários mensais;https://www.gov.br/anac/pt-br/noticias/2026/anac-publica-dados-tarifarios-do-mes-de-maio-de-2026;2026-09-15;Usada só como aferição de sanidade da média da tabela
Transporte interno;Tarifa de ônibus urbano (Anel A);4,50;BRL por embarque;dado real;Grande Recife Consórcio, via Folha PE;https://www.folhape.com.br/noticias/aumento-da-passagem-de-onibus-no-grande-recife-e-homologado-e-anel-a/463122/;2026-09-15;"Homologado; vigente desde 01/02/2026"
Transporte interno;Uber aeroporto REC <-> Boa Viagem;23;BRL por corrida;dado real;Uber — página oficial de estimativa da rota;https://www.uber.com/global/en/r/routes/recife-pe-br-to-rec/;2026-09-15;"5,71 km, ~19 min; media de corridas UberX no ultimo ano"
Transporte interno;Corrida de Uber intraurbana;7 / 24 / 34;BRL por corrida;estimativa;extrapolação da tarifa oficial REC<->Boa Viagem;;2026-09-15;Ancorada em dado real, mas extrapolada para outros trajetos
Alimentação;Prato feito (almoço);30 a 31,90;BRL por refeição;dado real;Abrasel, via Mercado&Consumo;https://mercadoeconsumo.com.br/07/05/2026/foodservice/alimentacao-fora-de-casa-fica-mais-cara-e-prato-feito-atinge-media-de-r-3027/;2026-09-15;"Media nacional jun/2026; Nordeste ~R$ 30"
Alimentação;Café da manhã;12 / 18 / 30;BRL por refeição;estimativa;;;2026-09-15;Não há índice publicado por refeição isolada
Alimentação;Jantar;24 / 36 / 65;BRL por refeição;estimativa;;;2026-09-15;"Idem; só o almoço tem índice Abrasel"
Hospedagem;Diária média em Recife (quarto duplo);280;BRL por diária;dado real;Dicas de Viagem / Viaje na Viagem;https://www.dicasdeviagem.com/hoteis-em-recife/;2026-09-15;Base da diária do cenário Intermediário (R$ 140 por pessoa)
Hospedagem;Tendência da diária média em Recife;"+17,1% jan/26; +10,1% jun/26";variação anual;dado real;FOHB / InFOHB, via Panrotas;https://www.panrotas.com.br/hotelaria/mercado/2026/02/hotelaria-cresce-em-janeiro-e-revpar-avanca-105-no-brasil_226015.html;2026-09-15;Indica pressão de alta sobre as diárias
Hospedagem;Diária de hostel (cama compartilhada);85;BRL por diária;estimativa;;;2026-09-15;Hostelworld e Booking só exibem preço após consulta com datas
Hospedagem;Diária 4 estrelas na orla;200;BRL por pessoa;estimativa;;;2026-09-15;Derivada do padrão de mercado, sem cotação
Sede;Geraldão — endereço e capacidade;Av. Mascarenhas de Moraes, 13 mil lugares;-;dado real;Prefeitura do Recife;https://www2.recife.pe.gov.br/pagina/ginasio-de-esportes-geraldo-magalhaes-geraldao;2026-09-15;
Sede;Cecon — distância do aeroporto;12;km;dado real;Centro de Convenções de Pernambuco;http://www.cecon.pe.gov.br/o-cecon-pe/;2026-09-15;
Sede;Recife Expo Center — localização;~20 min do aeroporto e de Boa Viagem;-;dado real;Recife Expo Center;https://recifeexpocenter.com.br/;2026-09-15;
Sede;Distâncias Boa Viagem -> sedes;6 / 13 / 13 / 14;km;estimativa;;;2026-09-15;"Aproximações; medir quando a sede for definida"
Sede;Fator de deslocamento da sede;1 + (km/6 - 1) x 0,30;multiplicador;estimativa;;;2026-09-15;"Heurística; o amortecimento 0,30 não tem base empírica"
Rodoviário;Ônibus João Pessoa -> Recife;a partir de 27;BRL por trecho;dado real;ClickBus;https://www.clickbus.com.br/onibus/joao-pessoa-pb;2026-09-15;120 km, ~2h
Rodoviário;Ônibus Recife -> Natal;a partir de 74;BRL por trecho;dado real;CheckMyBus;https://www.checkmybus.com/recife/natal;2026-09-15;300 km, ~4h30
Rodoviário;Ônibus Recife -> Maceió;a partir de 99,90;BRL por trecho;dado real;CheckMyBus;https://www.checkmybus.com/joao-pessoa/maceio;2026-09-15;260 km, ~4h
Evento;Datas do ENEJ 27;25 a 30/08/2027;-;estimativa;hipótese de trabalho;https://enej.brasiljunior.org.br/;2026-09-15;"Não divulgadas; site oficial ainda mostra o ENEJ'26"
Evento;Sede do ENEJ 27;4 candidatas;-;estimativa;hipótese de trabalho;;2026-09-15;"Não definida; por isso é um seletor"
Evento;Ingresso;0;BRL;não se aplica;;;2026-09-15;"Lotes não divulgados; fora da interface e do cálculo"
Evento;Regra de sazonalidade (8+ semanas, até +80%);-;-;estimativa;herdado do código do ENEJ 26;;2026-09-15;Não verificado
